,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
5734,Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1070.0,2.0,1.0,45.5,2.0,4252.336448598131
5735,Super built-up  Area,Ready To Move,Ramagondanahalli,2,SVovelm,1125.0,2.0,2.0,75.0,2.0,6666.666666666667
5736,Super built-up  Area,Ready To Move,Kodichikkanahalli,3,,1400.0,3.0,3.0,66.0,3.0,4714.285714285715
5737,Plot  Area,Ready To Move,Anekal,3,,1500.0,4.0,1.0,99.0,3.0,6600.0
5738,Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,4303.0,5.0,,300.0,4.0,6971.880083662561
5739,Super built-up  Area,Ready To Move,other,4,Shinei ,1800.0,3.0,2.0,82.0,4.0,4555.555555555556
5740,Super built-up  Area,Ready To Move,Sarjapur  Road,2,Tiare S,1340.0,2.0,,75.0,2.0,5597.014925373134
5741,Super built-up  Area,18-May,Electronic City Phase II,2,MJtroty,972.0,2.0,1.0,40.0,2.0,4115.22633744856
5742,Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883.0,2.0,1.0,37.0,2.0,4190.260475651189
5743,Super built-up  Area,Ready To Move,Haralur Road,2,,1245.0,2.0,3.0,62.0,2.0,4979.919678714859
5744,Plot  Area,Ready To Move,Hulimavu,2,,1200.0,2.0,0.0,75.0,2.0,6250.0
5745,Built-up  Area,18-May,Horamavu Banaswadi,4,,1200.0,4.0,2.0,105.0,4.0,8750.0
5746,Super built-up  Area,Ready To Move,Electronic City,3,Naireru,1700.0,3.0,2.0,75.0,3.0,4411.764705882353
5747,Super built-up  Area,Ready To Move,other,4,HViesar,3000.0,4.0,,240.0,4.0,8000.0
5748,Super built-up  Area,Ready To Move,Kaikondrahalli,2,Sheurre,1300.0,2.0,2.0,61.0,2.0,4692.307692307692
5749,Super built-up  Area,Ready To Move,Bellandur,2,,1170.0,2.0,1.0,46.79,2.0,3999.1452991452993
5750,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,Mauner ,1318.0,3.0,2.0,56.0,3.0,4248.86191198786
5751,Super built-up  Area,Ready To Move,other,3,,1060.0,3.0,1.0,62.0,3.0,5849.056603773585
5752,Super built-up  Area,18-Nov,other,3,,1578.0,3.0,1.0,73.9,3.0,4683.143219264893
5753,Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1220.0,2.0,1.0,43.92,2.0,3600.0
5754,Super built-up  Area,20-Dec,Varthur,3,Myple M,1615.0,3.0,2.0,69.43,3.0,4299.071207430341
5755,Super built-up  Area,Ready To Move,Banashankari,3,Bregae ,1800.0,3.0,2.0,175.0,3.0,9722.222222222223
5756,Super built-up  Area,Ready To Move,Kanakpura Road,2,,1120.0,2.0,1.0,51.0,2.0,4553.571428571428
5757,Super built-up  Area,19-Mar,8th Phase JP Nagar,3,Vaarech,1408.0,3.0,2.0,80.0,3.0,5681.818181818182
5758,Super built-up  Area,18-Jun,Rajaji Nagar,3,Puwerun,1613.0,3.0,0.0,150.0,3.0,9299.442033477992
5759,Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2376.0,3.0,1.0,203.0,3.0,8543.771043771043
5760,Plot  Area,Ready To Move,Varthur,4,SLncyaj,1320.0,2.0,1.0,110.0,4.0,8333.333333333334
5761,Super built-up  Area,Ready To Move,other,3,,1464.0,3.0,2.0,46.0,3.0,3142.0765027322404
5762,Plot  Area,Ready To Move,other,3,,1600.0,4.0,1.0,120.0,3.0,7500.0
5763,Super built-up  Area,Ready To Move,Devanahalli,1,,775.0,1.0,0.0,39.0,1.0,5032.258064516129
5764,Super built-up  Area,Ready To Move,other,3,,1355.0,2.0,3.0,58.25,3.0,4298.89298892989
5765,Super built-up  Area,Ready To Move,Thigalarapalya,2,,1418.0,2.0,2.0,105.0,2.0,7404.795486600846
5766,Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1660.0,3.0,2.0,85.0,3.0,5120.481927710844
5767,Built-up  Area,Ready To Move,Haralur Road,2,,1088.0,2.0,1.0,68.0,2.0,6250.0
5768,Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360.0,2.0,1.0,70.5,3.0,5183.823529411765
5769,Super built-up  Area,18-Jul,Electronic City,2,Prarkun,1128.0,2.0,1.0,67.0,2.0,5939.7163120567375
5770,Super built-up  Area,19-Aug,Kengeri,1,VBn 2lm,540.0,1.0,1.0,22.5,1.0,4166.666666666667
5771,Super built-up  Area,17-Apr,Hennur Road,3,Koagati,1192.0,2.0,1.0,60.0,3.0,5033.557046979866
5772,Super built-up  Area,Ready To Move,Kengeri,3,,1160.0,2.0,2.0,40.6,3.0,3500.0
5773,Super built-up  Area,Ready To Move,Electronic City,1,Palleon,635.0,1.0,0.0,28.0,1.0,4409.4488188976375
5774,Super built-up  Area,Ready To Move,Hulimavu,2,,1115.0,2.0,2.0,44.6,2.0,4000.0
5775,Super built-up  Area,Ready To Move,Hennur,2,,1160.0,2.0,1.0,49.0,2.0,4224.137931034483
5776,Super built-up  Area,18-Apr,Marathahalli,3,,1310.0,3.0,1.0,63.22,3.0,4825.954198473282
5777,Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162.0,2.0,1.0,57.0,2.0,4905.335628227194
5778,Built-up  Area,Ready To Move,Sector 2 HSR Layout,2,DShtsow,1332.0,2.0,2.0,101.0,2.0,7582.582582582582
5779,Built-up  Area,Ready To Move,other,2,Icncy R,1300.0,2.0,3.0,95.0,2.0,7307.692307692308
5780,Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1904.0,3.0,2.0,129.0,3.0,6775.210084033613
5781,Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1355.0,2.0,1.0,67.0,2.0,4944.649446494465
5782,Built-up  Area,Ready To Move,Banashankari Stage III,3,,1000.0,2.0,1.0,120.0,3.0,12000.0
5783,Super built-up  Area,17-Oct,Banashankari Stage V,3,Naiewre,1540.0,3.0,2.0,48.51,3.0,3150.0
5784,Built-up  Area,Ready To Move,other,4,,1700.0,3.0,2.0,55.0,4.0,3235.294117647059
5785,Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1614.0,2.0,1.0,100.0,3.0,6195.786864931846
5786,Super built-up  Area,18-Apr,other,2,,1180.0,2.0,3.0,41.94,2.0,3554.237288135593
5787,Super built-up  Area,Ready To Move,Old Madras Road,3,Sastaat,1859.0,3.0,2.0,121.0,3.0,6508.87573964497
5788,Built-up  Area,Ready To Move,Uttarahalli,3,,1250.0,2.0,1.0,55.0,3.0,4400.0
5789,Built-up  Area,17-Jun,Electronic City,2,GMown E,1070.0,2.0,1.0,60.0,2.0,5607.476635514019
5790,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Nencei ,1485.0,2.0,2.0,63.0,3.0,4242.424242424242
5791,Super built-up  Area,18-Feb,Bannerghatta Road,3,DSnjh S,1427.0,2.0,2.0,48.51,3.0,3399.4393833216536
5792,Super built-up  Area,Ready To Move,other,3,ShourSp,1370.0,2.0,2.0,75.0,3.0,5474.4525547445255
5793,Super built-up  Area,Ready To Move,Brookefield,3,Baentgi,1420.0,3.0,2.0,85.0,3.0,5985.915492957746
5794,Built-up  Area,Ready To Move,7th Phase JP Nagar,2,AiIIIpl,1000.0,2.0,2.0,60.0,2.0,6000.0
5795,Plot  Area,Ready To Move,Hoskote,4,,1200.0,4.0,1.0,120.0,4.0,10000.0
5796,Super built-up  Area,Ready To Move,Uttarahalli,2,,1134.0,2.0,1.0,45.36,2.0,4000.0
5797,Super built-up  Area,20-Dec,Rachenahalli,2,AsNowre,985.0,2.0,1.0,50.17,2.0,5093.401015228426
5798,Built-up  Area,Ready To Move,Kaggadasapura,2,,1045.0,2.0,2.0,55.0,2.0,5263.1578947368425
5799,Super built-up  Area,Ready To Move,other,3,Spess C,1998.0,3.0,2.0,117.0,3.0,5855.855855855856
5800,Super built-up  Area,Ready To Move,Uttarahalli,2,,1065.0,2.0,1.0,42.59,2.0,3999.06103286385
5801,Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185.0,2.0,2.0,43.66,2.0,3684.3881856540083
5802,Super built-up  Area,19-Mar,Sarjapur  Road,2,AsastDe,1112.0,2.0,1.0,62.0,2.0,5575.5395683453235
5803,Built-up  Area,Ready To Move, Devarachikkanahalli,2,Sarch M,1116.0,2.0,1.0,47.0,2.0,4211.469534050179
5804,Super built-up  Area,18-Dec,Whitefield,3,Asarqz ,1639.0,3.0,2.0,107.0,3.0,6528.370957901159
5805,Super built-up  Area,18-Jun,8th Phase JP Nagar,3,,1275.0,2.0,2.0,41.5,3.0,3254.901960784314
5806,Super built-up  Area,18-Aug,Hosakerehalli,3,Maunt M,1410.0,2.0,2.0,53.58,3.0,3800.0
5807,Super built-up  Area,Ready To Move,Tumkur Road,3,Soire A,1459.0,2.0,1.0,110.0,3.0,7539.410555174777
5808,Built-up  Area,Ready To Move,other,3,,1700.0,3.0,2.0,74.0,3.0,4352.941176470588
5809,Super built-up  Area,Ready To Move,Brookefield,3,Gotaten,1595.0,3.0,3.0,88.0,3.0,5517.241379310345
5810,Super built-up  Area,Ready To Move,Babusapalaya,3,ARngsd ,1358.0,2.0,1.0,43.1,3.0,3173.784977908689
5811,Super built-up  Area,Ready To Move,Bellandur,2,Grntsd ,1550.0,2.0,3.0,59.0,2.0,3806.451612903226
5812,Super built-up  Area,Ready To Move,Nagarbhavi,3,Deens G,1635.0,3.0,3.0,85.0,3.0,5198.7767584097855
5813,Super built-up  Area,18-Nov,other,3,,1765.0,3.0,2.0,77.27,3.0,4377.903682719547
5814,Super built-up  Area,18-May,Devanahalli,1,Sabixtt,698.5,1.0,0.0,28.57,1.0,4090.1932712956336
5815,Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,795.0,2.0,1.0,32.54,2.0,4093.0817610062895
5816,Plot  Area,Ready To Move,other,5,,2400.0,4.0,1.0,225.0,5.0,9375.0
5817,Super built-up  Area,Ready To Move,Channasandra,2,,1160.0,2.0,1.0,55.0,2.0,4741.379310344828
5818,Super built-up  Area,Ready To Move,Basavangudi,3,KuisePa,1850.0,3.0,1.0,168.0,3.0,9081.081081081082
5819,Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175.0,2.0,2.0,73.5,2.0,6255.31914893617
5820,Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918.0,2.0,2.0,52.0,2.0,5664.488017429194
5821,Super built-up  Area,Ready To Move,other,3,RMcesa ,1910.0,3.0,1.0,190.0,3.0,9947.643979057591
5822,Built-up  Area,Ready To Move,Kammanahalli,2,,1100.0,2.0,1.0,60.0,2.0,5454.545454545455
5823,Super built-up  Area,Ready To Move,Whitefield,2,BruntPa,1420.0,2.0,2.0,136.0,2.0,9577.464788732394
5824,Super built-up  Area,Ready To Move,other,3,,2100.0,3.0,3.0,170.0,3.0,8095.238095238095
5825,Built-up  Area,18-Jun,Whitefield,4,,2830.0,4.0,3.0,161.0,4.0,5689.04593639576
5826,Super built-up  Area,18-May,Bommanahalli,3,,1250.0,3.0,2.0,55.0,3.0,4400.0
5827,Built-up  Area,Ready To Move,Murugeshpalya,4,IBaveen,3100.0,4.0,2.0,310.0,4.0,10000.0
5828,Super built-up  Area,Ready To Move,other,2,,966.0,2.0,2.0,49.9,2.0,5165.631469979296
5829,Super built-up  Area,Ready To Move,Mahadevpura,3,Neisei ,1620.0,2.0,1.0,76.0,3.0,4691.358024691358
5830,Super built-up  Area,Ready To Move,other,4,,3600.0,5.0,,400.0,4.0,11111.111111111111
5831,Super built-up  Area,20-Nov,Whitefield,3,PritaDo,1778.0,3.0,2.0,122.0,3.0,6861.6422947131605
5832,Super built-up  Area,19-Jan,other,1,Ardaseo,509.0,1.0,1.0,20.0,1.0,3929.2730844793714
5833,Super built-up  Area,Ready To Move,other,2,,1190.0,2.0,2.0,59.9,2.0,5033.6134453781515
5834,Built-up  Area,Ready To Move,Hennur,4,,2502.0,4.0,2.0,170.0,4.0,6794.564348521183
5835,Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1296.0,2.0,1.0,89.0,2.0,6867.283950617284
5836,Super built-up  Area,Ready To Move,Sonnenahalli,2,Skacak ,1268.0,2.0,1.0,56.0,2.0,4416.403785488959
5837,Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,2060.0,3.0,1.0,149.0,3.0,7233.0097087378645
5838,Super built-up  Area,Ready To Move,Marathahalli,3,Afncyad,1600.0,3.0,2.0,56.0,3.0,3500.0
5839,Super built-up  Area,Ready To Move,Doddathoguru,2,Elayabh,855.0,2.0,1.0,32.0,2.0,3742.690058479532
5840,Super built-up  Area,18-Nov,Sarjapur  Road,2,AsastDe,984.0,2.0,1.0,55.0,2.0,5589.430894308943
5841,Super built-up  Area,19-Dec,JP Nagar,2,Shestut,1300.0,2.0,1.0,91.65,2.0,7050.0
5842,Super built-up  Area,Ready To Move,Domlur,2,IBictnd,1050.0,2.0,2.0,85.0,2.0,8095.238095238095
5843,Built-up  Area,18-Aug,other,2,,1116.0,2.0,1.0,37.6,2.0,3369.1756272401435
5844,Super built-up  Area,Ready To Move,Marathahalli,2,Prionad,1360.0,2.0,1.0,101.0,2.0,7426.470588235294
5845,Carpet  Area,20-Dec,Kanakpura Road,1,Roiti A,458.0,1.0,0.0,33.66,1.0,7349.344978165938
5846,Built-up  Area,Ready To Move,Chandapura,2,,630.0,1.0,1.0,27.0,2.0,4285.714285714285
5847,Super built-up  Area,20-Jun,other,3,Soeurri,1855.0,3.0,1.0,225.0,3.0,12129.380053908355
5848,Super built-up  Area,Ready To Move,Hulimavu,2,,850.0,1.0,1.0,39.5,2.0,4647.058823529412
5849,Super built-up  Area,Ready To Move,Garudachar Palya,3,,1295.0,2.0,2.0,59.5,3.0,4594.594594594595
5850,Super built-up  Area,Ready To Move,Singasandra,3,,1510.0,3.0,2.0,75.0,3.0,4966.887417218543
5851,Super built-up  Area,Ready To Move,Electronic City,2,MancyEl,970.0,2.0,1.0,35.0,2.0,3608.2474226804125
5852,Plot  Area,Ready To Move,Hulimavu,4,,1200.0,4.0,1.0,75.0,4.0,6250.0
5853,Super built-up  Area,Ready To Move,Kothanur,2,,1187.0,2.0,2.0,58.0,2.0,4886.2679022746415
5854,Built-up  Area,Ready To Move,Hosur Road,2,Tovesee,1656.0,2.0,1.0,120.0,2.0,7246.376811594203
5855,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1656.0,3.0,2.0,150.0,3.0,9057.971014492754
5856,Super built-up  Area,19-Dec,Sarjapur  Road,2,Daivon ,858.0,2.0,1.0,31.57,2.0,3679.4871794871797
5857,Super built-up  Area,19-Oct,other,1,,620.0,1.0,1.0,25.0,1.0,4032.2580645161293
5858,Super built-up  Area,Ready To Move,Electronic City,3,SJityVe,1652.0,3.0,3.0,110.0,3.0,6658.595641646489
5859,Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,987.0,2.0,1.0,49.0,2.0,4964.5390070921985
5860,Super built-up  Area,Ready To Move,other,3,DSldsen,1641.0,3.0,2.0,66.0,3.0,4021.9378427787933
5861,Super built-up  Area,Ready To Move,other,2,Soeurri,1541.0,2.0,1.0,181.0,2.0,11745.619727449708
5862,Built-up  Area,Ready To Move,Basaveshwara Nagar,3,Suncy R,1865.0,3.0,3.0,145.0,3.0,7774.798927613941
5863,Super built-up  Area,Ready To Move,Kodichikkanahalli,2,,1026.0,2.0,1.0,45.0,2.0,4385.964912280701
5864,Super built-up  Area,18-Jun,8th Phase JP Nagar,2,Maian M,1046.0,2.0,1.0,48.0,2.0,4588.910133843212
5865,Super built-up  Area,18-Dec,Hebbal,3,Mahosya,1760.0,2.0,2.0,130.0,3.0,7386.363636363636
5866,Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1115.0,2.0,1.0,35.8,2.0,3210.7623318385645
5867,Super built-up  Area,20-Mar,Sarjapur  Road,2,,1000.0,2.0,1.0,67.0,2.0,6700.0
5868,Built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1867.0,3.0,1.0,160.0,3.0,8569.89823245849
5869,Super built-up  Area,Ready To Move,other,2,,1150.0,2.0,1.0,46.0,2.0,4000.0
5870,Super built-up  Area,Ready To Move,Varthur,2,DSingSt,1140.0,2.0,2.0,39.9,2.0,3500.0
5871,Built-up  Area,Ready To Move,Kothanur,3,Somumys,1790.0,3.0,0.0,97.0,3.0,5418.994413407821
5872,Super built-up  Area,Ready To Move,Whitefield,2,SrireSo,1155.0,2.0,1.0,60.0,2.0,5194.805194805195
5873,Super built-up  Area,Ready To Move,Sompura,4,Suiseit,2150.0,3.0,2.0,85.0,4.0,3953.4883720930234
5874,Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1151.0,2.0,2.0,42.5,2.0,3692.44135534318
5875,Super built-up  Area,Ready To Move,other,2,Jahtsa ,700.0,1.0,1.0,26.0,2.0,3714.285714285714
5876,Plot  Area,Ready To Move,Hennur Road,5,,5100.0,6.0,3.0,375.0,5.0,7352.941176470588
5877,Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072.0,4.0,2.0,151.0,3.0,7287.644787644787
5878,Super built-up  Area,21-Sep,9th Phase JP Nagar,3,Vasisvi,1522.0,3.0,2.0,90.0,3.0,5913.272010512484
5879,Plot  Area,18-May,other,4,,1200.0,4.0,1.0,85.0,4.0,7083.333333333333
5880,Super built-up  Area,Ready To Move,other,3,SKthaAa,1950.0,3.0,3.0,132.0,3.0,6769.2307692307695
5881,Built-up  Area,20-Dec,other,2,,1234.0,2.0,1.0,61.0,2.0,4943.273905996759
5882,Plot  Area,Ready To Move,Banaswadi,5,,1903.0,6.0,2.0,140.0,5.0,7356.8050446663165
5883,Super built-up  Area,Ready To Move,Jalahalli,2,,1020.0,2.0,1.0,52.0,2.0,5098.0392156862745
5884,Super built-up  Area,Ready To Move,Kanakpura Road,3,Shiew T,1200.0,2.0,2.0,42.0,3.0,3500.0
5885,Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,1150.0,2.0,0.0,36.8,2.0,3199.9999999999995
5886,Super built-up  Area,19-Dec,Thanisandra,3,Bhe 2ko,1546.0,3.0,1.0,95.0,3.0,6144.890038809832
5887,Super built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1180.0,2.0,2.0,45.0,3.0,3813.5593220338983
5888,Super built-up  Area,Ready To Move,other,3,,1250.0,2.0,1.0,70.0,3.0,5600.0
5889,Plot  Area,Ready To Move,other,3,,1065.0,3.0,1.0,72.0,3.0,6760.56338028169
5890,Built-up  Area,Ready To Move,other,2,Krone S,1117.0,2.0,1.0,110.0,2.0,9847.806624888093
5891,Super built-up  Area,18-Oct,Hennur Road,3,Puachal,1482.0,2.0,1.0,87.0,3.0,5870.4453441295545
5892,Plot  Area,18-Nov,Whitefield,3,,1200.0,3.0,2.0,56.58,3.0,4715.0
5893,Super built-up  Area,Ready To Move,Haralur Road,2,,1194.0,2.0,2.0,47.0,2.0,3936.348408710218
5894,Super built-up  Area,Ready To Move,Green Glen Layout,4,,3270.0,4.0,3.0,205.0,4.0,6269.113149847095
5895,Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1215.0,2.0,1.0,45.5,2.0,3744.855967078189
5896,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3,,1350.0,2.0,,58.0,3.0,4296.2962962962965
5897,Super built-up  Area,Ready To Move,HRBR Layout,2,Srayatr,1265.0,2.0,1.0,78.0,2.0,6166.00790513834
5898,Super built-up  Area,Ready To Move,Electronic City Phase II,3,,1192.0,2.0,3.0,47.0,3.0,3942.953020134228
5899,Plot  Area,Ready To Move,Brookefield,4,Goodsrb,1500.0,5.0,3.0,160.0,4.0,10666.666666666666
5900,Super built-up  Area,Ready To Move,other,2,ETens G,1517.0,2.0,2.0,125.0,2.0,8239.947264337508
5901,Super built-up  Area,Ready To Move,Akshaya Nagar,3,HiahsLa,2061.0,3.0,1.0,200.0,3.0,9704.02717127608
5902,Super built-up  Area,Ready To Move,Iblur Village,4,Emine P,3596.0,5.0,0.0,252.0,4.0,7007.786429365962
5903,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140.0,2.0,1.0,48.7,2.0,4271.929824561404
5904,Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151.0,2.0,1.0,43.1,2.0,3744.5699391833186
5905,Super built-up  Area,Ready To Move,other,3,,1350.0,2.0,2.0,47.25,3.0,3500.0
5906,Super built-up  Area,18-Aug,Kanakpura Road,3,,2254.0,3.0,2.0,170.0,3.0,7542.147293700089
5907,Super built-up  Area,Ready To Move,Marathahalli,2,Prionad,1360.0,2.0,1.0,103.0,2.0,7573.529411764706
5908,Super built-up  Area,Ready To Move,Whitefield,3,Aangsur,1600.0,3.0,2.0,95.0,3.0,5937.5
5909,Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1556.0,3.0,2.0,86.0,3.0,5526.9922879177375
5910,Super built-up  Area,Ready To Move,other,2,,1250.0,2.0,1.0,62.4,2.0,4992.0
5911,Super built-up  Area,Ready To Move,Mysore Road,2,Brama P,1070.0,2.0,1.0,45.0,2.0,4205.607476635514
5912,Super built-up  Area,Ready To Move,Neeladri Nagar,3,GeereEc,2556.0,3.0,2.0,133.0,3.0,5203.442879499217
5913,Super built-up  Area,Ready To Move,Subramanyapura,2,Chllsev,1313.0,2.0,2.0,73.0,2.0,5559.786747905559
5914,Super built-up  Area,Ready To Move,Kenchenahalli,2,AriosPa,1150.0,2.0,2.0,57.0,2.0,4956.521739130435
5915,Built-up  Area,Ready To Move,Kengeri Satellite Town,4,,1200.0,3.0,0.0,110.0,4.0,9166.666666666666
5916,Super built-up  Area,18-Aug,Whitefield,2,Prtates,1216.0,2.0,1.0,69.0,2.0,5674.3421052631575
5917,Built-up  Area,Ready To Move,Marathahalli,4,Vemes H,3090.0,4.0,,350.0,4.0,11326.860841423948
5918,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3,NCierar,1515.0,2.0,2.0,135.0,3.0,8910.89108910891
5919,Built-up  Area,Ready To Move,other,3,,900.0,2.0,0.0,65.0,3.0,7222.222222222223
5920,Super built-up  Area,22-May,Jakkur,3,,1819.18,3.0,2.0,168.0,3.0,9234.930023417144
5921,Built-up  Area,Ready To Move,Uttarahalli,2,,1143.0,2.0,2.0,45.0,2.0,3937.0078740157483
5922,Built-up  Area,21-Dec,other,2,,950.0,2.0,1.0,33.0,2.0,3473.684210526316
5923,Built-up  Area,Ready To Move,other,3,RMcesa ,1907.0,2.0,1.0,200.0,3.0,10487.676979549029
5924,Super built-up  Area,Ready To Move,other,2,Makeser,1000.0,2.0,1.0,36.0,2.0,3600.0
5925,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,,812.0,2.0,1.0,42.0,2.0,5172.413793103448
5926,Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1498.0,3.0,2.0,95.0,3.0,6341.789052069425
5927,Super built-up  Area,Ready To Move,other,3,Ablmsol,1500.0,2.0,3.0,78.0,3.0,5200.0
5928,Super built-up  Area,18-Feb,other,2,,1205.0,2.0,2.0,42.18,2.0,3500.414937759336
5929,Super built-up  Area,Ready To Move,Kasavanhalli,2,Doissa ,1575.0,2.0,3.0,85.0,2.0,5396.825396825397
5930,Super built-up  Area,Ready To Move,Chamrajpet,2,,650.0,1.0,1.0,40.0,2.0,6153.846153846154
5931,Super built-up  Area,Ready To Move,Kadugodi,2,KMnorab,1394.0,2.0,2.0,56.0,2.0,4017.2166427546626
5932,Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1105.0,2.0,1.0,35.4,2.0,3203.6199095022625
5933,Super built-up  Area,Ready To Move,Uttarahalli,2,Ayaya A,1075.0,2.0,1.0,46.76,2.0,4349.767441860465
5934,Super built-up  Area,Ready To Move,CV Raman Nagar,1,Pu270a ,705.0,1.0,1.0,57.0,1.0,8085.106382978724
5935,Super built-up  Area,Ready To Move,Sarjapur  Road,3,Mades G,1455.0,2.0,1.0,98.0,3.0,6735.395189003437
5936,Super built-up  Area,17-Oct,Banashankari,3,,1200.0,3.0,2.0,74.52,3.0,6210.0
5937,Built-up  Area,Ready To Move,other,2,,1090.0,2.0,1.0,36.0,2.0,3302.7522935779816
5938,Super built-up  Area,18-May,Banashankari,2,Bregae ,1310.0,2.0,2.0,80.0,2.0,6106.8702290076335
5939,Super built-up  Area,Ready To Move,Uttarahalli,2,SLnssPr,1155.0,2.0,2.0,40.43,2.0,3500.4329004329006
5940,Built-up  Area,Ready To Move,other,2,,1275.0,2.0,1.0,76.0,2.0,5960.78431372549
5941,Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1050.0,2.0,1.0,77.0,2.0,7333.333333333333
5942,Built-up  Area,Ready To Move,other,3,Sutesga,1600.0,2.0,2.0,88.0,3.0,5500.0
5943,Super built-up  Area,Ready To Move,Sarjapur  Road,2,AbiewLa,1200.0,2.0,2.0,75.0,2.0,6250.0
5944,Built-up  Area,Ready To Move,Hormavu,2,,1206.0,2.0,,40.0,2.0,3316.749585406302
5945,Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1564.0,3.0,2.0,100.0,3.0,6393.861892583121
5946,Super built-up  Area,20-Aug,other,1,AsNowre,440.0,1.0,0.0,28.0,1.0,6363.636363636364
5947,Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1115.0,2.0,1.0,50.0,2.0,4484.304932735426
5948,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1270.0,2.0,1.0,83.0,2.0,6535.433070866142
5949,Plot  Area,Ready To Move,KR Puram,2,,1550.0,2.0,1.0,71.0,2.0,4580.645161290323
5950,Super built-up  Area,18-Dec,Kannamangala,3,Sonue A,1536.0,3.0,1.0,104.0,3.0,6770.833333333333
5951,Super built-up  Area,Ready To Move,Electronics City Phase 1,2,PSmalsh,1125.0,2.0,2.0,65.0,2.0,5777.777777777777
5952,Super built-up  Area,Ready To Move,Dommasandra,2,,1153.0,2.0,2.0,43.5,2.0,3772.7666955767563
5953,Super built-up  Area,Ready To Move,Bannerghatta Road,3,DSnjh S,1344.0,2.0,1.0,42.0,3.0,3125.0
5954,Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1847.0,3.0,2.0,123.0,3.0,6659.447753113156
5955,Super built-up  Area,18-Mar,other,3,,1410.0,2.0,2.0,45.12,3.0,3200.0
5956,Super built-up  Area,Ready To Move,Uttarahalli,2,,1100.0,1.0,2.0,45.0,2.0,4090.909090909091
5957,Built-up  Area,Ready To Move,Whitefield,3,,1550.0,2.0,2.0,49.6,3.0,3200.0
5958,Built-up  Area,Ready To Move,Dasanapura,2,Tavenew,1163.0,2.0,1.0,65.0,2.0,5588.993981083405
5959,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,Putus L,1600.0,3.0,2.0,90.0,3.0,5625.0
5960,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,Oaeze B,1300.0,2.0,1.0,70.0,2.0,5384.615384615385
5961,Super built-up  Area,18-Aug,other,2,,1080.0,2.0,2.0,38.0,2.0,3518.5185185185187
5962,Super built-up  Area,Ready To Move,Bellandur,3,BhreeBa,2500.0,4.0,2.0,112.0,3.0,4480.0
5963,Super built-up  Area,Ready To Move,OMBR Layout,4,,3400.0,4.0,2.0,275.0,4.0,8088.235294117647
5964,Super built-up  Area,Ready To Move,CV Raman Nagar,2,RatraNa,1100.0,2.0,1.0,58.0,2.0,5272.727272727273
5965,Super built-up  Area,18-Apr,other,1,,840.0,1.0,0.0,75.0,1.0,8928.57142857143
5966,Built-up  Area,16-Oct,Electronic City Phase II,3,Brods W,1252.0,2.0,3.0,65.0,3.0,5191.693290734825
